rank,name,team,role,IP,GS,SV,K,ERA,PROJ
193,Zebby Matthews,MIN,SP,79.33333333333331,16,0,88,5.558823529411766,150.0
194,Tyler Kinley,ATL,RP,72.66666666666667,0,3,73,3.9633027522935778,150.0
195,Greg Weissert,BOS,RP,67.0,0,4,57,2.8208955223880596,150.0
196,Kyle Leahy,STL,RP,88.0,1,1,80,3.0681818181818183,148.0
197,Bailey Falter,KC,SP,125.33333333333331,24,0,81,4.452127659574469,147.0
198,Reese Olson,DET,SP,68.66666666666667,13,0,65,3.145631067961165,147.0
199,Matt Svanson,STL,RP,60.333333333333336,0,0,68,1.9392265193370164,147.0
200,Chris Paddack,DET,SP,158.0,28,1,112,5.3544303797468356,147.0
201,Max Scherzer,TOR,SP,85.0,17,0,82,5.188235294117647,144.0
202,Aaron Civale,CHC,SP,102.0,18,1,88,4.852941176470588,144.0
203,Ben Casparius,LAD,RP,77.66666666666667,3,2,71,4.63519313304721,144.0
204,Tanner Banks,PHI,RP,67.33333333333331,1,1,61,3.074257425742575,143.0
205,Louis Varland,TOR,RP,72.66666666666667,1,0,75,2.9724770642201834,143.0
206,Lucas Erceg,KC,RP,61.333333333333336,0,2,48,2.641304347826087,142.0
207,Aaron Nola,PHI,SP,94.33333333333331,17,0,97,6.010600706713782,141.0
208,Jacob Latz,TEX,RP,85.66666666666667,8,1,76,2.836575875486381,140.0
209,Tyler Anderson,LAA,SP,136.33333333333331,26,0,104,4.555012224938876,140.0
210,Hunter Gaddis,CLE,RP,66.66666666666667,0,3,73,3.105,140.0
211,Dylan Lee,ATL,RP,68.33333333333331,0,2,76,3.292682926829269,140.0
212,Corbin Burnes,AZ,SP,64.33333333333331,11,0,63,2.658031088082902,139.0
213,Graham Ashcraft,CIN,RP,65.33333333333331,0,0,64,3.9948979591836746,138.0
214,Scott Barlow,CIN,RP,68.33333333333331,1,1,75,4.2146341463414645,137.0
215,Andre Pallante,STL,SP,162.66666666666663,31,0,111,5.311475409836067,137.0
216,Tyler Holton,DET,RP,78.66666666666667,6,0,64,3.661016949152542,136.0
217,Steven Matz,BOS,RP,76.66666666666667,2,2,59,3.052173913043478,136.0
218,Justin Sterner,OAK,RP,65.0,1,0,70,3.1846153846153844,134.0
219,Ryan Bergert,KC,SP,76.33333333333331,15,0,73,3.6550218340611362,134.0
220,Jimmy Herget,COL,RP,83.33333333333331,0,0,81,2.4840000000000004,132.0
221,Mitchell Parker,WSH,SP,164.66666666666663,30,1,103,5.684210526315791,132.0
222,Colton Gordon,HOU,SP,86.0,14,1,72,5.337209302325581,130.0
223,Michael McGreevy,STL,SP,95.66666666666667,16,0,58,4.421602787456446,130.0
224,Wandy Peralta,SD,RP,71.66666666666667,1,0,63,3.13953488372093,129.0
225,Brandon Eisert,CWS,RP,69.66666666666667,3,2,74,4.392344497607655,127.0
226,Keider Montero,DET,SP,90.66666666666667,12,0,72,4.367647058823529,126.0
227,Huascar Brazobán,NYM,RP,63.0,3,2,57,3.5714285714285716,125.0
228,Jacob Webb,TEX,RP,66.0,0,1,58,3.0,125.0
229,Joey Wentz,ATL,SP,98.0,13,0,92,5.6020408163265305,124.0
230,Hogan Harris,OAK,RP,64.66666666666667,0,4,65,3.2010309278350513,124.0
231,Brock Burke,LAA,RP,61.66666666666668,1,0,52,3.356756756756756,123.0
232,Yu Darvish,SD,SP,72.0,15,0,68,5.375,122.0
233,Logan Evans,SEA,SP,81.33333333333331,15,0,59,4.315573770491804,122.0
234,Yariel Rodríguez,TOR,RP,73.0,1,2,66,3.0821917808219177,121.0
235,Tyler Alexander,CWS,RP,97.66666666666667,5,1,82,4.976109215017065,120.0
236,Cole Sands,MIN,RP,72.0,3,3,64,4.5,120.0
237,Max Meyer,MIA,SP,64.66666666666667,12,0,68,4.731958762886598,120.0
238,Anthony Banda,LAD,RP,65.0,1,0,61,3.1846153846153844,117.0
239,Sean Manaea,NYM,SP,60.66666666666668,12,0,75,5.637362637362636,117.0
240,Grant Anderson,MIL,RP,69.66666666666667,0,0,74,3.229665071770335,117.0
241,Jason Alexander,HOU,SP,77.33333333333331,13,1,65,4.771551724137932,115.0
242,Hayden Birdsong,SF,SP,65.66666666666667,10,0,68,4.796954314720812,114.0
243,Enyel De Los Santos,HOU,RP,66.0,0,0,62,4.363636363636363,112.0
244,Tyler Rogers,NYM,RP,77.33333333333331,0,0,48,1.9784482758620694,110.0
245,Andrew Heaney,LAD,SP,122.33333333333331,23,0,86,5.5177111716621265,108.0
246,Spencer Bivens,SF,RP,81.0,0,3,61,4.0,108.0
247,Juan Mejia,COL,RP,61.333333333333336,0,1,68,3.9619565217391304,107.0
248,Jakob Junis,CLE,RP,66.66666666666667,0,0,55,2.9699999999999998,106.0
249,Tyler Phillips,MIA,RP,77.66666666666667,1,4,52,2.781115879828326,106.0
250,Daniel Lynch IV,KC,RP,67.66666666666667,2,1,45,3.0591133004926108,106.0
251,John Schreiber,KC,RP,64.0,0,1,62,3.796875,106.0
252,José Buttó,SF,RP,67.0,0,1,58,3.8955223880597014,105.0
253,Angel Zerpa,KC,RP,64.66666666666667,2,0,58,4.175257731958762,105.0
254,Gregory Soto,NYM,RP,60.333333333333336,0,1,70,4.176795580110497,101.0
255,Jonathan Cannon,CWS,SP,103.66666666666667,17,0,86,5.816720257234726,101.0
256,Tommy Kahnle,DET,RP,63.0,0,9,50,4.428571428571429,100.0
257,Ryan Yarbrough,NYY,RP,64.0,8,1,55,4.359375,100.0
258,Bryce Miller,SEA,SP,90.33333333333331,18,0,74,5.678966789667898,98.0
